Age,Tenure,MonthlyCharge,TotalCharge,ContractType,InternetService,Churn
56,15,55.16226872396344,2409.1767952060163,One year,No,No
69,64,30.142082844921653,2882.5498928277675,One year,No,No
46,28,68.58717591863257,6439.40891728245,Two year,No,No
32,39,45.677656772050796,2244.503781868133,Month-to-month,No,No
60,57,48.48729019619228,1701.4256116602812,Two year,No,No
25,17,50.72899649262865,7660.435191924007,Month-to-month,No,No
38,44,100.30258978326634,90.72901520548182,One year,Fiber optic,No
56,25,73.91612766752544,7982.610428342186,Month-to-month,No,No
36,17,51.13076991560037,5421.033964882017,Two year,Fiber optic,No
40,13,81.03337833109184,6631.185009603954,Two year,Fiber optic,No
28,25,91.61506742231936,2371.0627828426213,One year,No,No
28,68,47.262400073353376,134.23591578313864,Month-to-month,No,No
41,10,61.354910152535155,5908.19875812101,One year,Fiber optic,No
53,67,32.18860933369476,6676.473884065393,One year,Fiber optic,No
57,18,38.11493495346803,5928.999532989083,Two year,No,No
41,34,88.11178539649828,1159.945292660692,Month-to-month,No,No
20,8,38.143834769562694,6032.354819610613,Month-to-month,Fiber optic,Yes
39,40,72.51633836670601,6156.003801218975,Month-to-month,Fiber optic,No
19,42,90.90462617224327,5275.153315047038,Month-to-month,Fiber optic,No
41,41,30.687692309474386,6133.605143708778,One year,DSL,No
61,6,76.73122196289034,6770.453088628303,One year,Fiber optic,No
47,52,45.65627837013638,4916.560831614918,Two year,DSL,No
55,26,116.29268752375798,727.0656174780389,One year,No,No
19,64,68.35456467199248,3911.269921144343,One year,No,No
38,59,100.59925497751581,639.6416906794084,Two year,Fiber optic,No
50,56,75.02265421562618,3272.193387638798,Two year,No,No
29,59,24.341253285481915,3268.7097832225086,Two year,No,Yes
39,70,83.31513755940223,546.7585562391278,One year,No,No
61,33,115.14033422066571,2803.587861076445,One year,No,No
42,53,80.16118201463311,905.7648283546924,Two year,DSL,No
66,22,101.91888594267903,6469.716975873593,Two year,DSL,No
44,21,108.42064633484078,7582.550447196477,Two year,Fiber optic,No
59,70,42.80797719489325,597.08547255835,One year,Fiber optic,Yes
45,70,41.204483990822666,7641.819354187777,One year,Fiber optic,No
33,4,81.09809888509918,4190.161262707226,Month-to-month,No,Yes
32,62,61.10284698067047,2410.534110071914,One year,No,No
64,62,103.98613028667204,633.3593607037848,One year,DSL,No
68,24,110.00231233980112,4014.9816592019342,One year,DSL,No
61,55,55.34213793027181,6360.234045036174,Two year,Fiber optic,No
69,9,43.687055897448204,5662.550088588251,One year,DSL,Yes
20,3,98.05255152438619,420.8035714825106,Two year,DSL,Yes
54,31,47.48060355481361,601.75664623587,Month-to-month,DSL,No
68,40,102.26143185136785,3234.9287954084443,Month-to-month,DSL,Yes
24,36,62.37382536487628,2376.418142502587,Two year,DSL,No
38,24,86.75498992914704,1874.4268979872618,Two year,Fiber optic,Yes
26,6,29.55353138346682,2262.4159012915343,Two year,Fiber optic,No
56,66,82.3859324676573,6431.792291509139,One year,DSL,No
35,4,65.17676787372291,7435.2398679821945,Month-to-month,Fiber optic,Yes
21,6,78.66084631754741,3252.71950232998,Two year,No,No
42,51,36.801420774486346,7250.765797017327,One year,DSL,No
31,62,93.68737449441821,2585.535695958098,Month-to-month,No,Yes
67,57,106.27970775432286,3821.967151023457,One year,Fiber optic,No
26,66,41.67398000907757,1823.7114025716778,Month-to-month,Fiber optic,No
43,8,29.57145555201617,5130.998816563235,One year,No,No
19,26,22.36385860463364,7832.269299094975,Month-to-month,Fiber optic,Yes
37,51,84.1971500443266,4835.874906426162,Month-to-month,DSL,No
45,45,80.70940360887808,2875.35639122612,One year,No,No
64,44,74.669741271407,5189.583219004417,Two year,DSL,Yes
24,5,43.194709611597546,1000.9070141537928,Month-to-month,No,No
61,70,59.09059959055147,7111.499460517881,Two year,Fiber optic,No
25,26,79.4476335186173,4034.609927223094,One year,No,No
64,68,69.67668588591694,3605.8109414763435,Two year,No,No
52,19,118.77855202148874,4695.201011859083,Two year,DSL,Yes
31,20,33.64397525567331,5005.775225059431,Two year,Fiber optic,No
34,12,89.51445540475937,592.7709336875739,Two year,DSL,Yes
53,47,60.431876810429216,5467.285425362751,Two year,Fiber optic,Yes
67,1,62.819961492561475,1950.614808917926,Month-to-month,DSL,No
57,14,91.75977656581762,5717.342007402586,Month-to-month,No,No
21,64,89.24361513243696,6583.82765918589,Month-to-month,DSL,No
19,38,119.12559937021884,6435.588890269112,One year,Fiber optic,Yes
23,37,32.83942894541252,4428.957719914955,Two year,Fiber optic,No
59,11,30.410964938416633,4170.955740639794,Month-to-month,No,No
21,3,92.43388171287411,1160.1501714885055,One year,Fiber optic,Yes
46,33,77.83869170064091,6207.262280217022,Month-to-month,DSL,No
35,6,47.416066655980586,2185.846855964781,Month-to-month,No,Yes
43,50,27.94193689889866,3983.6294740872136,Two year,Fiber optic,No
61,10,28.565824959643052,2288.507261561583,One year,Fiber optic,No
51,5,109.41908746641182,1087.9503367375512,Two year,DSL,No
27,23,39.18673247187429,5043.870421196058,Two year,DSL,No
53,10,52.33715621155208,453.56963788677257,Month-to-month,No,No
31,44,42.6656402226988,5994.188968327076,Two year,Fiber optic,Yes
48,2,55.49963058319373,2554.3426261837108,One year,DSL,No
65,13,26.94238427460934,21.074850175792854,Two year,No,No
32,40,71.90597909082703,4098.810531113094,Two year,Fiber optic,No
25,2,26.76125635922149,393.8782300502729,Two year,Fiber optic,No
31,65,100.03565078223616,2223.833071410778,Month-to-month,No,No
40,63,43.3712081910433,5661.672369896615,One year,No,No
57,17,74.00119146045105,520.2631805424896,Month-to-month,DSL,No
38,9,108.00790875614582,6717.921169000899,Month-to-month,Fiber optic,No
33,15,85.08773690471942,50.4829828154932,Month-to-month,Fiber optic,No
62,24,73.29577865513353,1989.6544762311798,Month-to-month,Fiber optic,No
35,38,52.43337531153756,5932.41436809353,Month-to-month,No,No
64,35,53.300191305819794,2543.835794839868,One year,DSL,No
41,49,86.94869551981901,833.101256766788,Two year,Fiber optic,No
43,69,119.41393612211675,2894.6666720274143,Month-to-month,No,Yes
42,62,86.18391898493786,2177.738425348514,Month-to-month,Fiber optic,No
62,60,75.77834173700249,6744.8409792412285,One year,DSL,No
58,50,93.06505102392461,2520.516382329442,One year,Fiber optic,Yes
46,9,66.52056122837182,6315.681124772537,Two year,DSL,Yes
32,34,26.01423426007852,7137.139715589663,One year,DSL,No
62,35,76.22968158779098,3481.8630082207055,Two year,Fiber optic,No
18,1,115.76252845053801,7281.346287958048,Month-to-month,Fiber optic,No
42,40,37.530294235765965,3030.998070626279,Month-to-month,DSL,No
24,64,89.00048908206658,7713.345763591064,Two year,No,No
26,22,40.093368865905646,732.530405714072,One year,DSL,No
41,60,73.58276844730813,5502.413746695877,Two year,Fiber optic,Yes
18,64,29.66764496467196,3960.636042846291,One year,Fiber optic,Yes
61,11,65.03709362581851,3113.4374675360637,Month-to-month,No,No
25,14,95.61633288952461,5069.040792413835,One year,DSL,No
41,60,54.757152423898205,5636.779591241963,Two year,DSL,Yes
28,30,86.4911724487218,54.818891809466514,Two year,DSL,No
68,35,99.54499607897291,1352.2856482026457,Month-to-month,Fiber optic,Yes
34,37,112.71778194794527,5710.107484061863,One year,DSL,No
25,5,43.46420818554535,5337.755600354088,One year,No,No
52,26,59.931591580930814,7729.059090926844,One year,Fiber optic,No
52,62,35.24160133304174,6093.081566201248,Month-to-month,Fiber optic,No
50,4,119.24835021583752,7607.166207696077,One year,DSL,No
22,42,112.70009679242953,5626.273202247759,Two year,No,No
59,18,73.99571302805596,2398.456624942756,One year,Fiber optic,No
56,40,104.20332943764213,860.8120795618347,Month-to-month,Fiber optic,No
58,39,72.09579772720423,6258.954429492586,One year,DSL,No
45,14,82.35856880027598,5160.310787377809,One year,DSL,No
24,32,28.912443211601662,404.5243788985039,Two year,No,No
26,51,95.52704204968079,2893.202717889807,One year,DSL,No
25,38,32.77134836352349,7655.262527564603,Two year,No,Yes
29,23,102.60676302525283,4013.2011427674056,Two year,Fiber optic,Yes
51,63,98.20280876703859,3473.178505437243,Month-to-month,No,No
50,15,90.87446977429764,3672.442849171166,Two year,No,No
65,25,23.616038052476213,1686.8841375612064,Two year,No,No
40,17,50.31283559453286,2962.2832235010655,Month-to-month,Fiber optic,Yes
41,66,46.311256991084285,2971.1097827776694,Two year,DSL,No
54,53,56.01364074715191,437.79306109602976,Month-to-month,Fiber optic,No
52,51,28.764274676383856,6145.189675572988,One year,DSL,No
61,39,113.69578230310628,3343.7053665929543,Month-to-month,No,No
57,51,75.38022407123762,6580.995496795058,Two year,No,No
39,70,50.55243106580235,6805.777048936765,Month-to-month,No,No
44,6,59.698151707428345,1711.7125564952914,Two year,No,No
52,67,64.72025405048356,5265.680787717626,One year,No,No
18,7,80.05943333606173,3788.808797220594,Month-to-month,DSL,No
52,51,71.56794276964978,7043.650768613451,One year,DSL,No
54,42,111.93919732144174,1741.6106198281038,Two year,No,No
64,64,69.69634829058302,5428.949338474153,Two year,Fiber optic,Yes
31,15,119.21580148233127,4869.861935576726,One year,Fiber optic,Yes
20,29,105.14249577450957,2376.505791023226,Month-to-month,No,No
18,33,40.85105143573358,1110.0752111363574,Month-to-month,DSL,No
22,27,113.05952146439162,5220.085288608667,Two year,Fiber optic,No
43,36,31.63663978854761,5914.007715895998,One year,Fiber optic,Yes
31,29,101.74497084911916,2538.706203231533,One year,Fiber optic,No
56,38,58.06232934765801,5165.764180098064,Month-to-month,No,No
44,57,107.79743204450695,3173.144642739796,Month-to-month,Fiber optic,Yes
26,27,106.80566901074504,5711.39092859529,Month-to-month,Fiber optic,No
32,55,100.59254001176211,1609.7378936545438,One year,Fiber optic,Yes
32,33,99.00304363070614,7123.915721036671,Month-to-month,Fiber optic,No
43,68,50.46791390980408,2313.528579795326,Month-to-month,DSL,No
59,66,28.09192830512522,2954.9321822941,Two year,No,No
30,10,60.29801787651615,483.5737776011913,Month-to-month,No,No
68,5,37.352451498650865,909.8674543237856,Month-to-month,DSL,No
49,38,89.49510889024617,4136.577983644378,One year,DSL,No
56,13,54.609972653778556,2155.3895602892126,One year,No,Yes
66,31,117.56102008599149,6687.132201422711,Two year,Fiber optic,Yes
69,47,84.0972077345332,137.25324146653168,Month-to-month,Fiber optic,No
49,52,102.24805636343609,3045.170508402051,Two year,No,No
21,56,33.252467274184845,2712.0174632173594,One year,Fiber optic,No
47,15,106.20144822726226,174.23449472245625,Two year,DSL,No
54,29,112.27571905133944,1012.4598240240716,One year,Fiber optic,No
40,8,68.70619188189359,3320.8685458507093,Two year,Fiber optic,No
56,5,80.62529377509775,3953.0593838906243,Two year,Fiber optic,No
62,29,96.48098009029954,3246.2321830938554,Month-to-month,No,No
32,47,37.48386272604125,4256.882673728509,Two year,DSL,No
60,68,70.25660764634424,4769.1507657473385,Month-to-month,Fiber optic,No
46,45,59.86630277723131,99.19209260012833,Month-to-month,No,Yes
53,2,34.63739921622491,3723.479372438961,Month-to-month,Fiber optic,Yes
30,27,56.753442229153144,7708.723942282954,Month-to-month,DSL,No
49,36,26.817230938549358,4161.877595433799,Two year,Fiber optic,No
24,36,22.5811906949487,5426.7872943224465,One year,DSL,Yes
68,26,33.51662891548227,2508.673586176728,One year,Fiber optic,No
39,43,116.31151115891738,6196.451197659045,One year,DSL,No
45,27,74.9529535895017,6187.913425371398,Two year,Fiber optic,No
19,69,116.582216115322,4179.942460280029,Month-to-month,DSL,Yes
